iteration,train_loss,val_loss,lr,elapsed_s
13600,0.003061,,3.000000e-04,1714.5
13700,0.001338,,3.000000e-04,1724.4
13800,0.004282,,3.000000e-04,1734.4
13900,0.005705,,3.000000e-04,1744.5
14000,0.001478,,3.000000e-04,1754.4
14000,,0.004689,3.000000e-04,1780.0
14100,0.002499,,3.000000e-04,1790.5
14200,0.002978,,3.000000e-04,1800.4
14300,0.004244,,3.000000e-04,1810.4
14400,0.004058,,3.000000e-04,1820.5
14500,0.002782,,3.000000e-04,1830.6
14600,0.003972,,3.000000e-04,1840.6
14700,0.004061,,3.000000e-04,1850.6
14800,0.007046,,3.000000e-04,1860.7
14900,0.004837,,3.000000e-04,1870.7
15000,0.003617,,3.000000e-04,1880.6
15000,,0.004650,3.000000e-04,1906.1
15100,0.003100,,3.000000e-04,1916.8
15200,0.004709,,3.000000e-04,1926.6
15300,0.008557,,3.000000e-04,1936.7
15400,0.005483,,3.000000e-04,1946.7
15500,0.005677,,3.000000e-04,1956.6
15600,0.002901,,3.000000e-04,1966.5
15700,0.004265,,3.000000e-04,1976.6
15800,0.003764,,3.000000e-04,1986.4
15900,0.002799,,3.000000e-04,1996.3
16000,0.003618,,3.000000e-04,2006.3
16000,,0.004639,3.000000e-04,2031.7
16100,0.007101,,3.000000e-04,2041.9
16200,0.003225,,3.000000e-04,2051.6
16300,0.003348,,3.000000e-04,2061.6
16400,0.002342,,3.000000e-04,2071.6
16500,0.003064,,3.000000e-04,2081.5
16600,0.003826,,3.000000e-04,2091.5
16700,0.003268,,3.000000e-04,2101.6
16800,0.002217,,3.000000e-04,2111.9
16900,0.003451,,3.000000e-04,2121.8
17000,0.004442,,3.000000e-04,2131.7
17000,,0.004637,3.000000e-04,2157.2
17100,0.005722,,3.000000e-04,2167.5
17200,0.004608,,3.000000e-04,2177.5
17300,0.003105,,3.000000e-04,2187.4
17400,0.005266,,3.000000e-04,2197.5
17500,0.005010,,3.000000e-04,2207.4
17600,0.002283,,3.000000e-04,2217.4
17700,0.003992,,3.000000e-04,2227.4
17800,0.005182,,3.000000e-04,2237.4
17900,0.004229,,3.000000e-04,2247.4
18000,0.008871,,3.000000e-04,2257.5
18000,,0.004659,3.000000e-04,2282.9
18100,0.006432,,3.000000e-04,2293.0
18200,0.002379,,3.000000e-04,2303.1
18300,0.002269,,3.000000e-04,2313.0
18400,0.005421,,3.000000e-04,2323.1
18500,0.003645,,3.000000e-04,2333.3
18600,0.006452,,3.000000e-04,2343.3
18700,0.003077,,3.000000e-04,2353.2
18800,0.003301,,3.000000e-04,2363.1
18900,0.003337,,3.000000e-04,2373.2
19000,0.003104,,3.000000e-04,2383.2
19000,,0.004640,3.000000e-04,2408.8
19100,0.003483,,3.000000e-04,2418.8
19200,0.003677,,3.000000e-04,2428.7
19300,0.002747,,3.000000e-04,2438.9
19400,0.004818,,3.000000e-04,2448.8
19500,0.003213,,3.000000e-04,2458.7
19600,0.004279,,3.000000e-04,2468.5
19700,0.003650,,3.000000e-04,2478.7
19800,0.003438,,3.000000e-04,2488.5
19900,0.004783,,3.000000e-04,2498.5
20000,0.002928,,3.000000e-04,2508.4
20000,,0.004649,3.000000e-04,2533.9
20100,0.005413,,3.000000e-04,2544.6
20200,0.004872,,3.000000e-04,2554.7
20300,0.003712,,3.000000e-04,2564.5
20400,0.005378,,3.000000e-04,2574.5
20500,0.005081,,3.000000e-04,2584.5
20600,0.005051,,3.000000e-04,2594.4
20700,0.003382,,3.000000e-04,2604.4
20800,0.003390,,3.000000e-04,2614.3
20900,0.007048,,3.000000e-04,2624.1
21000,0.008917,,3.000000e-04,2634.1
21000,,0.004630,3.000000e-04,2659.6
21100,0.004396,,3.000000e-04,2670.0
21200,0.001672,,3.000000e-04,2680.0
21300,0.003245,,3.000000e-04,2689.9
21400,0.004280,,3.000000e-04,2699.8
21500,0.002874,,3.000000e-04,2709.9
21600,0.007018,,3.000000e-04,2719.8
21700,0.002000,,3.000000e-04,2730.1
21800,0.003597,,3.000000e-04,2740.0
21900,0.003641,,3.000000e-04,2750.1
22000,0.001814,,3.000000e-04,2760.2
22000,,0.004620,3.000000e-04,2785.8
22100,0.001024,,3.000000e-04,2796.2
22200,0.006733,,3.000000e-04,2806.2
22300,0.005858,,3.000000e-04,2816.1
22400,0.002496,,3.000000e-04,2826.2
22500,0.006857,,3.000000e-04,2836.1
22600,0.002690,,3.000000e-04,2846.2
22700,0.006399,,3.000000e-04,2856.1
22800,0.002842,,3.000000e-04,2866.1
22900,0.003993,,3.000000e-04,2875.9
23000,0.003901,,3.000000e-04,2886.1
23000,,0.004625,3.000000e-04,2911.6
23100,0.002113,,3.000000e-04,2921.5
23200,0.006703,,3.000000e-04,2931.5
23300,0.004010,,3.000000e-04,2941.5
23400,0.002652,,3.000000e-04,2951.6
23500,0.005603,,3.000000e-04,2961.7
23600,0.004188,,3.000000e-04,2971.7
23700,0.002882,,3.000000e-04,2981.6
23800,0.003576,,3.000000e-04,2991.7
23900,0.005695,,3.000000e-04,3001.7
24000,0.003364,,3.000000e-04,3011.7
24000,,0.004623,3.000000e-04,3037.2
24100,0.004818,,3.000000e-04,3047.1
24200,0.002705,,3.000000e-04,3057.0
24300,0.004253,,3.000000e-04,3067.1
24400,0.002388,,3.000000e-04,3077.1
24500,0.002777,,3.000000e-04,3087.1
24600,0.003494,,3.000000e-04,3097.1
24700,0.004154,,3.000000e-04,3107.1
24800,0.003745,,3.000000e-04,3117.0
24900,0.009879,,3.000000e-04,3126.9
25000,0.007164,,3.000000e-04,3137.0
25000,,0.004620,3.000000e-04,3162.5
25100,0.003593,,3.000000e-04,3172.4
25200,0.005884,,3.000000e-04,3182.5
25300,0.005341,,3.000000e-04,3192.5
25400,0.003852,,3.000000e-04,3202.4
25500,0.005130,,3.000000e-04,3212.6
25600,0.005041,,3.000000e-04,3222.5
25700,0.004368,,3.000000e-04,3232.5
25800,0.003271,,3.000000e-04,3242.4
25900,0.003098,,3.000000e-04,3252.4
26000,0.008522,,3.000000e-04,3262.6
26000,,0.004616,3.000000e-04,3288.1
26100,0.002869,,3.000000e-04,3298.5
26200,0.004504,,3.000000e-04,3308.6
26300,0.004599,,3.000000e-04,3318.4
26400,0.004693,,3.000000e-04,3328.3
26500,0.005450,,3.000000e-04,3338.3
26600,0.005858,,3.000000e-04,3348.3
26700,0.002722,,3.000000e-04,3358.5
26800,0.003430,,3.000000e-04,3369.0
26900,0.001561,,3.000000e-04,3379.5
27000,0.005473,,3.000000e-04,3389.9
27000,,0.004617,3.000000e-04,3415.9
27100,0.003972,,3.000000e-04,3426.0
27200,0.004898,,3.000000e-04,3436.0
27300,0.001441,,3.000000e-04,3446.1
27400,0.003976,,3.000000e-04,3456.4
27500,0.004783,,3.000000e-04,3466.8
27600,0.003985,,3.000000e-04,3477.1
27700,0.009550,,3.000000e-04,3487.3
27800,0.006837,,3.000000e-04,3497.4
27900,0.005920,,3.000000e-04,3507.7
28000,0.005703,,3.000000e-04,3517.8
28000,,0.004625,3.000000e-04,3543.8
28100,0.006719,,3.000000e-04,3554.0
28200,0.005363,,3.000000e-04,3564.2
28300,0.004641,,3.000000e-04,3574.4
28400,0.003140,,3.000000e-04,3584.6
28500,0.002801,,3.000000e-04,3595.0
28600,0.005140,,3.000000e-04,3605.3
28700,0.010684,,3.000000e-04,3615.5
28800,0.003594,,3.000000e-04,3625.7
28900,0.004308,,3.000000e-04,3635.8
29000,0.001479,,3.000000e-04,3646.1
29000,,0.004623,3.000000e-04,3672.2
29100,0.003630,,3.000000e-04,3682.4
29200,0.005086,,3.000000e-04,3692.6
29300,0.008512,,3.000000e-04,3702.7
29400,0.002869,,3.000000e-04,3712.9
29500,0.003409,,3.000000e-04,3723.0
29600,0.003590,,3.000000e-04,3733.4
29700,0.005155,,3.000000e-04,3743.7
29800,0.003716,,3.000000e-04,3754.1
29900,0.007391,,3.000000e-04,3764.4
30000,0.011181,,3.000000e-04,3774.8
30000,,0.004621,3.000000e-04,3800.9
30100,0.004656,,3.000000e-04,3811.5
30200,0.003430,,3.000000e-04,3822.0
30300,0.003503,,3.000000e-04,3832.2
30400,0.003264,,3.000000e-04,3842.5
30500,0.003008,,3.000000e-04,3852.8
30600,0.002715,,3.000000e-04,3863.0
30700,0.006849,,3.000000e-04,3873.3
30800,0.006477,,3.000000e-04,3883.6
30900,0.003702,,3.000000e-04,3893.8
31000,0.003792,,3.000000e-04,3904.1
31000,,0.004613,3.000000e-04,3930.1
31100,0.003858,,3.000000e-04,3941.1
31200,0.005330,,3.000000e-04,3951.4
31300,0.004532,,3.000000e-04,3961.5
31400,0.002119,,3.000000e-04,3971.5
31500,0.004384,,3.000000e-04,3981.7
31600,0.005110,,3.000000e-04,3991.9
31700,0.009519,,3.000000e-04,4001.9
31800,0.003955,,3.000000e-04,4012.2
31900,0.001588,,3.000000e-04,4022.4
32000,0.006557,,3.000000e-04,4032.6
32000,,0.004628,3.000000e-04,4058.7
32100,0.002327,,3.000000e-04,4068.7
32200,0.005438,,3.000000e-04,4079.1
32300,0.004070,,3.000000e-04,4089.3
32400,0.005963,,3.000000e-04,4099.4
32500,0.003648,,3.000000e-04,4109.5
32600,0.002349,,3.000000e-04,4119.8
32700,0.003746,,3.000000e-04,4130.2
32800,0.003362,,3.000000e-04,4140.4
32900,0.003322,,3.000000e-04,4150.7
33000,0.005871,,3.000000e-04,4161.1
33000,,0.004617,3.000000e-04,4187.3
