volume_id,slice_idx,sequence,group,method,q_hat,n_pixels_total,n_pixels_lesion,coverage_global,coverage_lesion,mean_width_global,mean_width_lesion,iou_topk_global,iou_topk_lesion,ulas_lesion,ulas_null_mean,ulas_z_score,mean_uncertainty,mean_error
file_brain_AXFLAIR_200_6002428,0,AXFLAIR,C,CQR,0.010268524289131165,102400,110,0.7910449504852295,0.8272727131843567,0.04438870772719383,0.05626171454787254,0.10440034512510785,0.09090909090909091,0.6186683773994446,0.6301140785217285,-0.3265962485830352,0.011925830505788326,0.011193964630365372
file_brain_AXFLAIR_200_6002428,1,AXFLAIR,C,CQR,0.010268524289131165,102400,132,0.7854687571525574,0.7348484992980957,0.044006820768117905,0.05693326145410538,0.11147291870183436,0.0,0.6353960037231445,0.6212489604949951,0.42683153814406294,0.011734886094927788,0.011086858808994293
file_brain_AXFLAIR_200_6002428,2,AXFLAIR,C,CQR,0.010268524289131165,102400,42,0.7986133098602295,0.8333333134651184,0.04244215041399002,0.05779913067817688,0.10786541166288002,0.0,0.6921667456626892,0.6561805009841919,0.9636887272274539,0.010952552780508995,0.01064534392207861
file_brain_AXFLAIR_200_6002428,3,AXFLAIR,C,CQR,0.010268524289131165,102400,30,0.8002831935882568,0.6666666865348816,0.0422712117433548,0.054129280149936676,0.1061899103381225,0.0,0.7163919806480408,0.6271790266036987,1.3398878469617823,0.010867084376513958,0.010455799289047718
file_brain_AXFLAIR_200_6002428,4,AXFLAIR,C,CQR,0.010268524289131165,102400,48,0.8144726753234863,0.6458333134651184,0.04186345264315605,0.052648913115262985,0.10834505898906809,0.0,0.6528127789497375,0.6238192915916443,0.5392048424569913,0.010663202032446861,0.010037214495241642
file_brain_AXFLAIR_200_6002428,5,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8043457269668579,nan,0.04121013730764389,nan,0.1112316874660879,nan,nan,nan,nan,0.010336545296013355,0.01003184076398611
file_brain_AXFLAIR_200_6002428,6,AXFLAIR,C,CQR,0.010268524289131165,102400,94,0.8142383098602295,0.6170212626457214,0.04125261306762695,0.05586422234773636,0.12366948315593108,0.0,0.6709445118904114,0.6505424976348877,0.7672935919791369,0.010357783176004887,0.009827940724790096
file_brain_AXFLAIR_200_6002428,7,AXFLAIR,C,CQR,0.010268524289131165,102400,55,0.8175683617591858,0.581818163394928,0.04072339087724686,0.054519377648830414,0.12700858463570328,0.2,0.5465736985206604,0.6256049871444702,-2.4161481076877624,0.010093173012137413,0.009764350950717926
file_brain_AXFLAIR_200_6002428,8,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8329394459724426,nan,0.04024885222315788,nan,0.12502746649088112,nan,nan,nan,nan,0.009855903685092926,0.009339955635368824
file_brain_AXFLAIR_200_6002428,9,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8409374952316284,nan,0.03839176148176193,nan,0.12194587487673934,nan,nan,nan,nan,0.008927356451749802,0.008891730569303036
file_brain_AXFLAIR_200_6002428,10,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8444140553474426,nan,0.03713648021221161,nan,0.11875887687097127,nan,nan,nan,nan,0.00829971395432949,0.008482690900564194
file_brain_AXFLAIR_200_6002428,11,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8480663895606995,nan,0.03666537627577782,nan,0.11304347826086956,nan,nan,nan,nan,0.008064164780080318,0.008239338174462318
file_brain_AXFLAIR_200_6002428,12,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8487890362739563,nan,0.03728028014302254,nan,0.13036759024174854,nan,nan,nan,nan,0.008371613919734955,0.008307153359055519
file_brain_AXFLAIR_200_6002428,13,AXFLAIR,C,CQR,0.010268524289131165,102400,0,0.8562695384025574,nan,0.03742685541510582,nan,0.1129225084229975,nan,nan,nan,nan,0.00844490248709917,0.00801271665841341
file_brain_AXFLAIR_200_6002493,0,AXFLAIR,C,CQR,0.010268524289131165,102400,6104,0.813281238079071,0.7781782150268555,0.04097777232527733,0.04961448162794113,0.11062906724511931,0.06457242582897033,0.5675011873245239,0.5724791884422302,-2.0123777074764435,0.010220364667475224,0.00987645611166954
file_brain_AXFLAIR_200_6002493,1,AXFLAIR,C,CQR,0.010268524289131165,102400,7343,0.8207910060882568,0.7825139760971069,0.04019606113433838,0.048692889511585236,0.11583306091315244,0.05308464849354376,0.5717321634292603,0.5675274133682251,1.1217918690627942,0.009829509072005749,0.009601494297385216
file_brain_AXFLAIR_200_6002493,2,AXFLAIR,C,CQR,0.010268524289131165,102400,7572,0.8275097608566284,0.7999207377433777,0.04000524431467056,0.048752833157777786,0.11790393013100436,0.07670454545454546,0.5710723996162415,0.5603216886520386,2.942391290910363,0.009734101593494415,0.009415765292942524
file_brain_AXFLAIR_200_6002493,3,AXFLAIR,C,CQR,0.010268524289131165,102400,8440,0.8304784893989563,0.7925355434417725,0.038888100534677505,0.04767782986164093,0.11364872213159326,0.10326797385620914,0.5734241604804993,0.5652177333831787,3.394680805673761,0.009175526909530163,0.009021018631756306
