serie,group,calibrator,q_hat,coverage_global,coverage_lesion,width_global,width_lesion
A · ResM (scaled CP),A,scaled,2.05274510383606,0.8921664904793309,0.8164041265462056,0.0310050822490075,0.0554882457962363
B · CQR aditivo,B,cqr,0.0102748572826385,0.8762819851979234,0.7276684428440845,0.0355701728175891,0.0475348353464381
B · CQR normalizado,B,cqr_norm,0.8434976935386658,0.8940642732336761,0.8480502679913043,0.0403608636094641,0.0725088950587044
C · QR-Lesion (CQR aditivo),C,cqr,0.0102685242891311,0.8771194406206163,0.7370646687068227,0.0358763065908296,0.0498562627989822
C · QR-Lesion (CQR normalizado),C,cqr_norm,0.8327606320381165,0.8948377500693906,0.8597390195238189,0.0408880557131785,0.0781509889513353
