volume_id,slice_idx,sequence,group,method,q_hat,n_pixels_total,n_pixels_lesion,coverage_global,coverage_lesion,mean_width_global,mean_width_lesion,iou_topk_global,iou_topk_lesion,ulas_lesion,ulas_null_mean,ulas_z_score,mean_uncertainty,mean_error
file_brain_AXFLAIR_200_6002428,0,AXFLAIR,B,CQR,0.01027485728263855,102400,110,0.7900000214576721,0.8272727131843567,0.043920956552028656,0.0547538697719574,0.1081051834217076,0.0,0.624956488609314,0.6251770853996277,-0.007424605603874547,0.011685620993375778,0.011193964630365372
file_brain_AXFLAIR_200_6002428,1,AXFLAIR,B,CQR,0.01027485728263855,102400,132,0.784472644329071,0.7196969985961914,0.043523479253053665,0.05296230688691139,0.10834505898906809,0.0,0.6214636564254761,0.6203261613845825,0.03502275118493007,0.011486880481243134,0.011086858808994293
file_brain_AXFLAIR_200_6002428,2,AXFLAIR,B,CQR,0.01027485728263855,102400,42,0.7983788847923279,0.8333333134651184,0.04252919182181358,0.056774646043777466,0.11583306091315244,0.0,0.6792526245117188,0.647235631942749,0.7156916880880185,0.010989738628268242,0.01064534392207861
file_brain_AXFLAIR_200_6002428,3,AXFLAIR,B,CQR,0.01027485728263855,102400,30,0.80029296875,0.6666666865348816,0.04240325093269348,0.05187493562698364,0.10894520251245397,0.0,0.7074061036109924,0.626869797706604,1.1965194736881721,0.010926766321063042,0.010455799289047718
file_brain_AXFLAIR_200_6002428,4,AXFLAIR,B,CQR,0.01027485728263855,102400,48,0.8135741949081421,0.625,0.04131222888827324,0.05099336430430412,0.1094257854821235,0.0,0.6519899964332581,0.63099604845047,0.3990502983572824,0.010381256230175495,0.010037214495241642
file_brain_AXFLAIR_200_6002428,5,AXFLAIR,B,CQR,0.01027485728263855,102400,0,0.8042285442352295,nan,0.04119390621781349,nan,0.11062906724511931,nan,nan,nan,nan,0.010322093963623047,0.01003184076398611
file_brain_AXFLAIR_200_6002428,6,AXFLAIR,B,CQR,0.01027485728263855,102400,94,0.8136816620826721,0.6170212626457214,0.04059714451432228,0.05339886248111725,0.12502746649088112,0.0,0.6788460612297058,0.6505804061889648,1.1062839813080023,0.010023715905845165,0.009827940724790096
file_brain_AXFLAIR_200_6002428,7,AXFLAIR,B,CQR,0.01027485728263855,102400,55,0.8172656297683716,0.5636363625526428,0.04040426388382912,0.051576219499111176,0.1312417145382236,0.2,0.613740861415863,0.6350796222686768,-0.5801646619630906,0.009927273727953434,0.009764350950717926
file_brain_AXFLAIR_200_6002428,8,AXFLAIR,B,CQR,0.01027485728263855,102400,0,0.8319140672683716,nan,0.03911281004548073,nan,0.12614098757285824,nan,nan,nan,nan,0.009281549602746964,0.009339955635368824
file_brain_AXFLAIR_200_6002428,9,AXFLAIR,B,CQR,0.01027485728263855,102400,0,0.8407226800918579,nan,0.038228943943977356,nan,0.12071795994308854,nan,nan,nan,nan,0.008839617483317852,0.008891730569303036
