iteration,train_loss,val_loss,lr,elapsed_s
13800,0.000042,,3.000000e-04,1283.8
13900,0.000060,,3.000000e-04,1291.3
14000,0.000005,,3.000000e-04,1298.9
14000,,0.000058,3.000000e-04,1315.4
14100,0.000012,,3.000000e-04,1322.9
14200,0.000019,,3.000000e-04,1330.5
14300,0.000021,,3.000000e-04,1338.3
14400,0.000051,,3.000000e-04,1345.8
14500,0.000016,,3.000000e-04,1353.3
14600,0.000025,,3.000000e-04,1360.9
14700,0.000034,,3.000000e-04,1368.5
14800,0.000090,,3.000000e-04,1376.2
14900,0.000043,,3.000000e-04,1384.1
15000,0.000026,,3.000000e-04,1391.8
15000,,0.000057,3.000000e-04,1408.3
15100,0.000019,,3.000000e-04,1416.2
15200,0.000047,,3.000000e-04,1423.9
15300,0.000145,,3.000000e-04,1431.7
15400,0.000056,,3.000000e-04,1439.3
15500,0.000065,,3.000000e-04,1447.0
15600,0.000017,,3.000000e-04,1454.6
15700,0.000034,,3.000000e-04,1462.5
15800,0.000028,,3.000000e-04,1470.0
15900,0.000016,,3.000000e-04,1477.8
16000,0.000024,,3.000000e-04,1485.5
16000,,0.000057,3.000000e-04,1502.1
16100,0.000094,,3.000000e-04,1509.5
16200,0.000019,,3.000000e-04,1517.0
16300,0.000022,,3.000000e-04,1524.7
16400,0.000007,,3.000000e-04,1532.3
16500,0.000018,,3.000000e-04,1539.9
16600,0.000036,,3.000000e-04,1547.6
16700,0.000021,,3.000000e-04,1555.3
16800,0.000010,,3.000000e-04,1563.3
16900,0.000025,,3.000000e-04,1571.0
17000,0.000037,,3.000000e-04,1579.0
17000,,0.000057,3.000000e-04,1595.6
17100,0.000056,,3.000000e-04,1603.1
17200,0.000038,,3.000000e-04,1610.9
17300,0.000019,,3.000000e-04,1618.6
17400,0.000050,,3.000000e-04,1626.5
17500,0.000054,,3.000000e-04,1634.3
17600,0.000010,,3.000000e-04,1641.8
17700,0.000028,,3.000000e-04,1649.7
17800,0.000053,,3.000000e-04,1657.4
17900,0.000040,,3.000000e-04,1665.1
18000,0.000143,,3.000000e-04,1672.9
18000,,0.000057,3.000000e-04,1689.5
18100,0.000082,,3.000000e-04,1697.2
18200,0.000015,,3.000000e-04,1704.9
18300,0.000010,,3.000000e-04,1712.6
18400,0.000055,,3.000000e-04,1720.3
18500,0.000023,,3.000000e-04,1728.0
18600,0.000081,,3.000000e-04,1735.7
18700,0.000019,,3.000000e-04,1743.3
18800,0.000021,,3.000000e-04,1751.0
18900,0.000026,,3.000000e-04,1758.7
19000,0.000020,,3.000000e-04,1766.4
19000,,0.000057,3.000000e-04,1782.8
19100,0.000025,,3.000000e-04,1790.5
19200,0.000025,,3.000000e-04,1798.1
19300,0.000014,,3.000000e-04,1805.8
19400,0.000055,,3.000000e-04,1813.4
19500,0.000019,,3.000000e-04,1821.1
19600,0.000034,,3.000000e-04,1828.5
19700,0.000025,,3.000000e-04,1836.2
19800,0.000022,,3.000000e-04,1843.8
19900,0.000046,,3.000000e-04,1851.5
20000,0.000016,,3.000000e-04,1859.2
20000,,0.000056,3.000000e-04,1875.7
20100,0.000053,,3.000000e-04,1883.9
20200,0.000045,,3.000000e-04,1891.7
20300,0.000024,,3.000000e-04,1899.4
20400,0.000063,,3.000000e-04,1906.9
20500,0.000048,,3.000000e-04,1914.6
20600,0.000053,,3.000000e-04,1922.2
20700,0.000025,,3.000000e-04,1930.0
20800,0.000023,,3.000000e-04,1937.8
20900,0.000102,,3.000000e-04,1945.2
21000,0.000150,,3.000000e-04,1953.0
21000,,0.000056,3.000000e-04,1969.5
21100,0.000038,,3.000000e-04,1977.3
21200,0.000004,,3.000000e-04,1984.9
21300,0.000018,,3.000000e-04,1992.6
21400,0.000037,,3.000000e-04,2000.3
21500,0.000020,,3.000000e-04,2008.2
21600,0.000091,,3.000000e-04,2015.7
21700,0.000007,,3.000000e-04,2023.5
21800,0.000030,,3.000000e-04,2031.1
21900,0.000026,,3.000000e-04,2039.0
22000,0.000007,,3.000000e-04,2046.9
22000,,0.000056,3.000000e-04,2063.6
22100,0.000002,,3.000000e-04,2071.7
22200,0.000098,,3.000000e-04,2079.3
22300,0.000068,,3.000000e-04,2086.9
22400,0.000017,,3.000000e-04,2094.7
22500,0.000115,,3.000000e-04,2102.3
22600,0.000015,,3.000000e-04,2110.0
22700,0.000080,,3.000000e-04,2117.9
22800,0.000017,,3.000000e-04,2125.7
22900,0.000029,,3.000000e-04,2133.4
23000,0.000036,,3.000000e-04,2141.2
23000,,0.000056,3.000000e-04,2157.7
23100,0.000009,,3.000000e-04,2165.5
23200,0.000081,,3.000000e-04,2173.2
23300,0.000030,,3.000000e-04,2181.0
23400,0.000013,,3.000000e-04,2188.8
23500,0.000060,,3.000000e-04,2196.8
23600,0.000037,,3.000000e-04,2204.8
23700,0.000017,,3.000000e-04,2212.7
23800,0.000026,,3.000000e-04,2220.7
23900,0.000056,,3.000000e-04,2228.5
24000,0.000019,,3.000000e-04,2236.1
24000,,0.000056,3.000000e-04,2252.7
24100,0.000055,,3.000000e-04,2260.3
24200,0.000012,,3.000000e-04,2268.2
24300,0.000033,,3.000000e-04,2276.0
24400,0.000012,,3.000000e-04,2283.9
24500,0.000015,,3.000000e-04,2291.8
24600,0.000023,,3.000000e-04,2299.6
24700,0.000031,,3.000000e-04,2307.5
24800,0.000029,,3.000000e-04,2315.5
24900,0.000180,,3.000000e-04,2323.4
25000,0.000093,,3.000000e-04,2331.2
25000,,0.000056,3.000000e-04,2347.8
25100,0.000025,,3.000000e-04,2355.4
25200,0.000077,,3.000000e-04,2363.2
25300,0.000052,,3.000000e-04,2371.0
25400,0.000035,,3.000000e-04,2378.3
25500,0.000050,,3.000000e-04,2386.1
25600,0.000040,,3.000000e-04,2393.8
25700,0.000036,,3.000000e-04,2401.5
25800,0.000018,,3.000000e-04,2409.1
25900,0.000019,,3.000000e-04,2416.9
26000,0.000132,,3.000000e-04,2424.6
26000,,0.000056,3.000000e-04,2441.1
26100,0.000019,,3.000000e-04,2448.8
26200,0.000039,,3.000000e-04,2456.6
26300,0.000039,,3.000000e-04,2464.3
26400,0.000043,,3.000000e-04,2471.9
26500,0.000057,,3.000000e-04,2479.6
26600,0.000063,,3.000000e-04,2487.1
26700,0.000015,,3.000000e-04,2494.9
26800,0.000025,,3.000000e-04,2502.8
26900,0.000005,,3.000000e-04,2510.6
27000,0.000073,,3.000000e-04,2518.4
27000,,0.000056,3.000000e-04,2534.9
27100,0.000025,,3.000000e-04,2542.4
27200,0.000051,,3.000000e-04,2550.0
27300,0.000004,,3.000000e-04,2557.6
27400,0.000035,,3.000000e-04,2565.3
27500,0.000041,,3.000000e-04,2573.0
27600,0.000029,,3.000000e-04,2580.6
27700,0.000167,,3.000000e-04,2588.3
27800,0.000080,,3.000000e-04,2595.9
27900,0.000083,,3.000000e-04,2603.5
28000,0.000065,,3.000000e-04,2611.0
28000,,0.000057,3.000000e-04,2627.5
28100,0.000095,,3.000000e-04,2635.0
28200,0.000052,,3.000000e-04,2642.6
28300,0.000047,,3.000000e-04,2650.1
28400,0.000020,,3.000000e-04,2657.9
28500,0.000013,,3.000000e-04,2665.6
28600,0.000051,,3.000000e-04,2673.2
28700,0.000241,,3.000000e-04,2680.7
28800,0.000022,,3.000000e-04,2688.3
28900,0.000044,,3.000000e-04,2695.8
29000,0.000004,,3.000000e-04,2703.5
29000,,0.000055,3.000000e-04,2719.9
29100,0.000025,,3.000000e-04,2727.5
29200,0.000046,,3.000000e-04,2735.0
29300,0.000129,,3.000000e-04,2742.4
29400,0.000019,,3.000000e-04,2750.0
29500,0.000033,,3.000000e-04,2757.5
29600,0.000023,,3.000000e-04,2765.1
29700,0.000048,,3.000000e-04,2772.5
29800,0.000027,,3.000000e-04,2780.1
29900,0.000103,,3.000000e-04,2787.7
30000,0.000260,,3.000000e-04,2795.1
30000,,0.000056,3.000000e-04,2811.4
30100,0.000042,,3.000000e-04,2819.0
30200,0.000024,,3.000000e-04,2826.8
30300,0.000022,,3.000000e-04,2834.3
30400,0.000019,,3.000000e-04,2842.0
30500,0.000019,,3.000000e-04,2849.8
30600,0.000016,,3.000000e-04,2857.5
30700,0.000099,,3.000000e-04,2865.1
30800,0.000084,,3.000000e-04,2872.7
30900,0.000027,,3.000000e-04,2880.4
31000,0.000030,,3.000000e-04,2888.0
31000,,0.000056,3.000000e-04,2904.4
31100,0.000027,,3.000000e-04,2912.0
31200,0.000056,,3.000000e-04,2919.5
31300,0.000044,,3.000000e-04,2926.8
31400,0.000007,,3.000000e-04,2934.3
31500,0.000045,,3.000000e-04,2941.8
31600,0.000047,,3.000000e-04,2949.3
31700,0.000170,,3.000000e-04,2956.8
31800,0.000042,,3.000000e-04,2964.4
31900,0.000006,,3.000000e-04,2972.0
32000,0.000077,,3.000000e-04,2979.6
32000,,0.000057,3.000000e-04,2996.0
32100,0.000010,,3.000000e-04,3003.2
32200,0.000054,,3.000000e-04,3010.7
32300,0.000032,,3.000000e-04,3018.1
32400,0.000065,,3.000000e-04,3025.5
32500,0.000027,,3.000000e-04,3032.9
32600,0.000009,,3.000000e-04,3040.4
32700,0.000026,,3.000000e-04,3048.0
32800,0.000021,,3.000000e-04,3055.5
32900,0.000020,,3.000000e-04,3063.1
33000,0.000067,,3.000000e-04,3070.6
33000,,0.000055,3.000000e-04,3087.0
33100,0.000028,,3.000000e-04,3094.3
33200,0.000028,,3.000000e-04,3101.5
33300,0.000038,,3.000000e-04,3109.1
